CodMunicipio;Municipi;CasosPCR+;IncidènciaacumuladaPCR+;CasosPCR+14dies;IncidènciaacumuladaPCR+14;Defuncions;Taxadedefunció
46001;Ademuz;270;26036.64;31;2989.39;1;96.43
46002;Ador;475;27456.65;170;9826.59;4;231.21
3001;Adsubia;29;4746.32;5;818.33;1;163.67
3002;Agost;596;12432.21;154;3212.35;11;229.45
3003;Agres;48;8510.64;7;1241.13;1;177.3
46004;Agullent;188;7872.7;42;1758.79;3;125.63
46042;AielodeMalferit;572;12367.57;97;2097.3;5;108.11
46043;AielodeRugat;7;4375.0;1;625.0;0;0.0
3004;Aigües;63;6389.45;22;2231.24;0;0.0
46005;Alaquàs;4274;14385.24;903;3039.28;58;195.21
46006;Albaida;1089;18413.93;198;3347.99;16;270.54
46007;Albal;2100;12668.15;395;2382.82;12;72.39
46008;AlbalatdelaRibera;391;11755.86;69;2074.56;3;90.2
46009;AlbalatdelsSorells;480;11892.96;120;2973.24;2;49.55
46010;AlbalatdelsTarongers;120;9933.77;17;1407.28;2;165.56
3005;Albatera;1797;14405.96;366;2934.1;14;112.23
46011;Alberic;1784;16959.79;316;3004.09;11;104.57
12003;Albocàsser;219;17848.41;16;1303.99;2;163.0
46012;Alborache;85;6916.19;15;1220.5;10;813.67
46013;Alboraya;3781;15282.32;496;2004.77;45;181.88
46014;Albuixech;502;12093.47;70;1686.34;10;240.91
3006;Alcalalí;51;3917.05;7;537.63;0;0.0
12004;AlcalàdeXivert;1041;15682.43;213;3208.8;2;30.13
3007;AlcocerdePlanes;16;7079.65;6;2654.87;1;442.48
3008;Alcoleja;28;15819.21;1;564.97;0;0.0
12005;Alcora(l');1617;15522.7;305;2927.91;16;153.6
3009;Alcoy/Alcoi;10540;17757.86;2130;3588.64;237;399.3
46018;Alcublas;17;2782.32;6;982.0;0;0.0
12006;AlcudiadeVeo;13;6914.89;4;2127.66;1;531.91
46016;AlcànteradeXúquer;119;8873.97;17;1267.71;3;223.71
46015;Alcàsser;1492;14633.19;227;2226.36;19;186.35
46019;Alcúdia(l');1923;15883.37;274;2263.15;17;140.41
46020;AlcúdiadeCrespins(l');836;16350.48;143;2796.79;4;78.23
46021;Aldaia;4819;14963.98;815;2530.74;44;136.63
46022;Alfafar;3483;16279.5;560;2617.43;31;144.89
3010;Alfafara;56;13793.1;0;0.0;0;0.0
46024;AlfaradelaBaronía;75;13181.02;29;5096.66;3;527.24
46025;AlfaradelPatriarca;215;6550.88;36;1096.89;2;60.94
46026;Alfarp;126;8020.37;28;1782.3;3;190.96
46027;Alfarrasí;171;14027.89;28;2296.96;1;82.03
46023;Alfauir;24;5345.21;3;668.15;0;0.0
12007;Alfondeguilla;58;6728.54;9;1044.08;0;0.0
3011;AlfàsdelPi(l');2540;12673.39;339;1691.45;29;144.7
46028;AlgardePalancia;35;7128.31;11;2240.33;0;0.0
46029;Algemesí;4511;16445.5;664;2420.71;55;200.51
46030;AlgimiadeAlfara;118;11206.08;24;2279.2;8;759.73
12008;AlgimiadeAlmonacid;12;4580.15;2;763.36;0;0.0
46031;Alginet;2120;15332.32;398;2878.43;10;72.32
3012;Algorfa;253;8096.0;44;1408.0;2;64.0
3013;Algueña;121;9125.19;24;1809.95;0;0.0
3014;Alicante/Alacant;49012;14522.85;8719;2583.55;527;156.16
12009;Almazora/Almassora;3869;14467.88;762;2849.45;21;78.53
12010;Almedíjar;9;3688.52;2;819.67;0;0.0
12011;Almenara;874;14351.4;149;2446.63;15;246.31
46033;Almiserà;4;1509.43;0;0.0;0;0.0
46034;Almoines;291;11748.08;43;1735.97;1;40.37
3015;Almoradí;3321;15659.19;404;1904.94;29;136.74
3016;Almudaina;2;1834.86;0;0.0;0;0.0
46035;Almussafes;1065;11861.01;299;3329.99;6;66.82
46032;Almàssera;1328;17854.26;217;2917.45;9;121.0
46036;Alpuente;28;4409.45;1;157.48;0;0.0
3017;Alqueriad'Asnar(l');64;12981.74;10;2028.4;1;202.84
46037;AlqueriadelaComtessa(l');190;12700.53;36;2406.42;2;133.69
12901;AlqueríasdelNiñoPerdido;601;13463.26;129;2889.78;10;224.01
3018;Altea;2879;12762.66;372;1649.08;34;150.72
12012;Altura;360;9997.22;67;1860.59;1;27.77
46017;Alzira;6189;13772.31;824;1833.64;60;133.52
46038;Andilla;3;974.03;1;324.68;0;0.0
46039;Anna;468;17896.75;105;4015.3;20;764.82
46040;Antella;82;7087.29;22;1901.47;5;432.15
46041;ArasdelosOlmos;13;3621.17;4;1114.21;0;0.0
12013;Arañuel;1;662.25;0;0.0;0;0.0
12014;AresdelMaestrat;5;2717.39;0;0.0;0;0.0
12015;Argelita;1;793.65;0;0.0;0;0.0
12016;Artana;409;20920.72;119;6086.96;1;51.15
3019;Aspe;2550;12257.26;314;1509.33;19;91.33
46003;Atzenetad'Albaida;136;11703.96;26;2237.52;1;86.06
12001;AtzenetadelMaestrat;256;19631.9;16;1226.99;3;230.06
46044;Ayora;1104;20897.22;254;4807.87;12;227.14
12017;Ayódar;22;14379.08;2;1307.19;0;0.0
12018;Azuébar;29;9354.84;2;645.16;1;322.58
12002;Aín;4;3252.03;0;0.0;0;0.0
3020;Balones;17;13281.25;0;0.0;0;0.0
3021;BanyeresdeMariola;1677;23653.03;490;6911.14;18;253.88
12020;Barracas;26;15476.19;1;595.24;1;595.24
46046;Barx;191;14658.48;40;3069.84;14;1074.44
46045;Barxeta;234;14754.1;41;2585.12;2;126.1
12022;Bejís;18;4851.75;0;0.0;0;0.0
46048;Bellreguard;1322;28627.11;414;8964.92;17;368.12
46049;Bellús;14;4682.27;2;668.9;0;0.0
12024;Benafer;2;1219.51;0;0.0;0;0.0
12025;Benafigos;2;1449.28;0;0.0;0;0.0
46051;Benaguasil;1568;13930.35;318;2825.16;10;88.84
46050;Benagéber;20;11111.11;0;0.0;0;0.0
12026;Benasal;130;12229.54;17;1599.25;3;282.22
3022;Benasau;6;3846.15;2;1282.05;0;0.0
46052;Benavites;88;13793.1;19;2978.06;1;156.74
3023;Beneixama;179;10591.72;40;2366.86;2;118.34
46053;Beneixida;43;6858.05;5;797.45;0;0.0
3024;Benejúzar;746;13725.85;131;2410.3;11;202.39
46054;Benetússer;2550;17000.0;317;2113.33;27;180.0
3025;Benferri;195;9923.66;19;966.92;3;152.67
3026;Beniarbeig;127;5882.35;15;694.77;0;0.0
3027;Beniardá;4;2000.0;0;0.0;0;0.0
46055;Beniarjó;291;16468.59;68;3848.33;2;113.19
3028;Beniarrés;174;15832.58;12;1091.9;2;181.98
46056;Beniatjar;20;9132.42;4;1826.48;1;456.62
12027;Benicarló;4297;15703.69;710;2594.74;43;157.15
12028;Benicasim/Benicàssim;3264;17773.91;801;4361.79;17;92.57
46057;Benicolet;99;17247.39;17;2961.67;2;348.43
46904;BeniculldeXúquer;83;7919.85;18;1717.56;0;0.0
3030;Benidoleig;50;4638.22;18;1669.76;0;0.0
3031;Benidorm;11581;16438.61;1741;2471.26;192;272.53
46059;BenifairódelaValldigna;171;10975.61;48;3080.87;0;0.0
46058;BenifairódelesValls;225;10167.19;48;2169.0;1;45.19
46060;Benifaió;2267;18909.0;273;2277.09;24;200.18
3032;Benifallim;6;5769.23;0;0.0;0;0.0
3033;Benifato;3;2205.88;1;735.29;0;0.0
46061;Beniflá;1;217.39;0;0.0;0;0.0
3029;Benigembla;25;5643.34;9;2031.6;0;0.0
46062;Benigánim;1501;25973.35;208;3599.24;14;242.26
3034;Benijófar;356;10810.81;50;1518.37;4;121.47
3035;Benilloba;132;18181.82;21;2892.56;1;137.74
3036;Benillup;7;7000.0;3;3000.0;0;0.0
3037;Benimantell;79;15895.37;11;2213.28;3;603.62
3038;Benimarfull;24;6060.61;3;757.58;0;0.0
3039;Benimassot;7;6796.12;2;1941.75;0;0.0
3040;Benimeli;27;6293.71;7;1631.7;0;0.0
46063;Benimodo;138;6073.94;34;1496.48;1;44.01
46064;Benimuslem;33;4947.53;2;299.85;0;0.0
46065;Beniparrell;253;12555.83;42;2084.37;2;99.26
46066;Benirredrà;412;26495.18;92;5916.4;17;1093.25
46067;Benisanó;284;12396.33;34;1484.07;1;43.65
3041;Benissa;1726;15290.57;320;2834.87;30;265.77
46068;Benissoda;40;9259.26;8;1851.85;0;0.0
46069;Benisuera;10;5405.41;3;1621.62;0;0.0
3042;Benitachell/PobleNoudeBenitatxell(el);189;4245.28;29;651.39;4;89.85
12029;Benlloch;137;13072.52;19;1812.98;2;190.84
12021;Betxí;940;16731.93;244;4343.18;1;17.8
3043;Biar;769;21039.67;295;8071.14;6;164.16
46071;Bicorp;65;12287.33;19;3591.68;0;0.0
3044;Bigastro;1018;14734.4;146;2113.19;10;144.74
46072;Bocairent;551;13302.75;67;1617.58;7;169.0
46073;Bolbaite;227;17145.02;23;1737.16;4;302.11
3045;Bolulla;17;4076.74;6;1438.85;0;0.0
46074;BonrepòsiMirambell;452;12092.03;55;1471.38;4;107.01
12032;Borriana/Burriana;4674;13334.47;1060;3024.08;61;174.03
12031;Borriol;696;12896.05;122;2260.52;7;129.7
46075;Bufali;2;1282.05;0;0.0;0;0.0
46076;Bugarra;72;9742.9;2;270.64;0;0.0
46078;Burjassot;6038;15629.53;897;2321.91;49;126.84
3046;Busot;188;6113.82;29;943.09;1;32.52
46077;Buñol;1504;15834.91;319;3358.6;16;168.46
46047;Bèlgida;53;7805.6;9;1325.48;3;441.83
46070;Bétera;4130;16785.89;609;2475.21;41;166.64
12033;Cabanes;244;8193.42;35;1175.29;18;604.43
46079;Calles;23;6478.87;0;0.0;1;281.69
3048;Callosad'EnSarrià;1140;15155.54;171;2273.33;18;239.3
3049;CallosadeSegura;2791;14591.94;370;1934.44;24;125.48
3047;Calp;2955;12668.27;466;1997.77;42;180.06
3050;Campello(el);3879;13408.23;756;2613.2;84;290.36
3051;CampodeMirra/CampdeMirra(el);2;479.62;0;0.0;0;0.0
46080;Camporrobles;174;14524.21;35;2921.54;0;0.0
46081;Canals;2197;16254.81;431;3188.81;14;103.58
46082;Canetd'EnBerenguer;706;10436.07;116;1714.71;22;325.2
12036;CanetloRoig;68;10059.17;6;887.57;0;0.0
46083;Carcaixent;2773;13569.19;521;2549.42;36;176.16
46085;Carlet;2877;18278.27;446;2833.55;26;165.18
46086;Carrícola;8;8080.81;1;1010.1;0;0.0
46087;CasasAltas;6;4580.15;0;0.0;1;763.36
46088;CasasBajas;9;5521.47;0;0.0;0;0.0
46089;Casinos;177;6366.91;22;791.37;3;107.91
3053;Castalla;1524;14568.4;383;3661.22;26;248.54
12037;CastelldeCabres;0;0.0;0;0.0;0;0.0
3054;CastelldeCastells;19;4347.83;6;1373.0;1;228.83
3075;CastelldeGuadalest(el);0;0.0;0;0.0;0;0.0
12038;Castellfort;3;1675.98;1;558.66;0;0.0
12039;Castellnovo;64;6971.68;5;544.66;1;108.93
46091;CastellonetdelaConquesta;8;5673.76;1;709.22;1;709.22
46090;CastellódeRugat;504;21932.11;152;6614.45;0;0.0
12040;CastellóndelaPlana/CastellódelaPlana;23946;13741.22;3800;2180.6;271;155.51
46092;Castielfabib;9;2922.08;0;0.0;0;0.0
12041;CastillodeVillamalefa;10;9900.99;2;1980.2;0;0.0
46093;Catadau;322;11483.59;93;3316.69;5;178.32
46094;Catarroja;4003;13992.59;651;2275.59;40;139.82
3055;Catral;792;8900.88;91;1022.7;8;89.91
12042;Catí;50;7002.8;14;1960.78;2;280.11
46095;CaudetedelasFuentes;149;20956.4;17;2391.0;3;421.94
12043;Caudiel;40;6069.8;11;1669.2;4;606.98
3052;Cañada;155;12831.13;57;4718.54;2;165.56
46096;Cerdà;13;3927.49;0;0.0;0;0.0
12044;CerveradelMaestre;34;6104.13;0;0.0;0;0.0
46107;Chella;539;21804.21;78;3155.34;5;202.27
46106;Chelva;294;19203.14;77;5029.39;2;130.63
46108;Chera;73;15565.03;16;3411.51;0;0.0
12052;Chert/Xert;67;9738.37;3;436.05;2;290.7
46109;Cheste;1374;15729.82;272;3113.91;19;217.52
12053;Chilches/Xilxes;222;8179.81;43;1584.38;1;36.85
46111;Chiva;1939;12579.47;369;2393.93;28;181.65
12055;Chodos/Xodos;1;943.4;0;0.0;0;0.0
46112;Chulilla;42;6344.41;6;906.34;1;151.06
12056;Chóvar;14;4861.11;2;694.44;0;0.0
12045;Cinctorres;73;18250.0;7;1750.0;2;500.0
12046;Cirat;13;6310.68;1;485.44;0;0.0
3056;Cocentaina;1568;13611.11;295;2560.76;36;312.5
46097;Cofrentes;170;15138.02;28;2493.32;3;267.14
3057;Confrides;0;0.0;0;0.0;0;0.0
46098;Corbera;332;10751.3;38;1230.57;5;161.92
12048;CortesdeArenoso;9;3000.0;6;2000.0;0;0.0
46099;CortesdePallás;72;9338.52;8;1037.61;1;129.7
12049;Costur;15;2895.75;2;386.1;1;193.05
46100;Cotes;35;10510.51;4;1201.2;0;0.0
12050;CovesdeVinromà(les);222;12292.36;37;2048.73;0;0.0
3058;Cox;859;11630.11;90;1218.52;13;176.01
3059;Crevillent;3026;10245.12;492;1665.76;35;118.5
12051;Culla;25;5197.51;0;0.0;0;0.0
46105;Cullera;3024;13427.47;739;3281.38;38;168.73
12034;Càlig;158;8057.11;39;1988.78;1;50.99
46084;Càrcer;603;33004.93;80;4378.76;7;383.14
46113;Daimús;573;17928.66;81;2534.42;31;969.96
3061;DayaNueva;285;16445.47;17;980.96;5;288.52
3062;DayaVieja;43;5882.35;7;957.59;1;136.8
3064;Dolores;1642;21803.21;259;3439.12;14;185.9
46114;Domeño;37;5497.77;7;1040.12;1;148.59
46115;DosAguas;19;5810.4;0;0.0;1;305.81
3063;Dénia;6254;14602.94;1007;2351.32;44;102.74
3065;Elche/Elx;36823;15685.05;5385;2293.78;291;123.95
3066;Elda;9238;17491.91;1429;2705.77;117;221.54
46116;Eliana(l');3027;16485.13;359;1955.12;34;185.17
46117;Emperador;40;5813.95;8;1162.79;0;0.0
46118;Enguera;810;16956.25;140;2930.71;4;83.73
12057;Eslida;52;7172.41;10;1379.31;0;0.0
12058;Espadilla;5;7246.38;0;0.0;0;0.0
46120;Estivella;311;21582.23;61;4233.17;6;416.38
46121;Estubeny;6;4800.0;3;2400.0;0;0.0
3067;Facheca;3;2803.74;2;1869.16;0;0.0
3068;Famorca;2;4444.44;1;2222.22;0;0.0
12059;Fanzara;21;7692.31;8;2930.4;0;0.0
46122;Faura;555;15620.6;157;4418.8;3;84.44
46123;Favara;305;12180.51;66;2635.78;6;239.62
12060;Figueroles;21;4015.3;7;1338.43;0;0.0
3069;Finestrat;601;8461.21;95;1337.46;5;70.39
46126;Foios;1020;13687.6;169;2267.85;7;93.93
3077;FondódelesNeus(el)/HondóndelasNieves;102;3914.04;22;844.21;1;38.37
46127;Fontd'EnCarròs(la);450;11911.06;95;2514.56;4;105.88
46128;FontdelaFiguera(la);341;16822.89;38;1874.69;1;49.33
46124;FontanarsdelsAlforins;183;19082.38;9;938.48;2;208.55
12061;Forcall;163;35745.61;22;4824.56;3;657.89
3070;FormenteradelSegura;391;9161.2;49;1148.08;8;187.44
46125;Fortaleny;108;10588.24;29;2843.14;3;294.12
12063;FuentelaReina;3;5882.35;1;1960.78;0;0.0
46129;Fuenterrobles;99;14265.13;24;3458.21;1;144.09
12064;FuentesdeAyódar;1;1123.6;0;0.0;0;0.0
3072;Gaianes;41;8559.5;2;417.54;0;0.0
12065;Gaibiel;22;12154.7;5;2762.43;0;0.0
46131;Gandia;12016;15852.66;2777;3663.69;73;96.31
3071;GatadeGorgos;679;10876.18;119;1906.13;3;48.05
46130;Gavarda;82;7869.48;19;1823.42;0;0.0
12067;Geldo;36;5687.2;3;473.93;1;157.98
46132;Genovés;468;16846.65;85;3059.76;1;36.0
46133;Gestalgar;55;10036.5;3;547.45;0;0.0
46134;Gilet;288;8460.63;41;1204.47;2;58.75
46135;Godella;2421;18437.29;359;2733.99;17;129.46
46136;Godelleta;173;4827.01;43;1199.78;2;55.8
3073;Gorga;28;11618.26;3;1244.81;0;0.0
46137;GranjadelaCostera(la);19;6440.68;1;338.98;0;0.0
3074;GranjadeRocamora;333;12852.18;44;1698.19;3;115.79
46138;Guadasequies;46;10087.72;8;1754.39;0;0.0
46139;Guadassuar;924;15655.71;74;1253.81;14;237.21
46140;GuardamardelaSafor;13;2448.21;0;0.0;2;376.65
3076;GuardamardelSegura;1657;10454.92;213;1343.93;34;214.52
46902;Gátova;20;4938.27;5;1234.57;1;246.91
12068;Herbés;1;2272.73;0;0.0;0;0.0
12069;Higueras;2;4166.67;0;0.0;0;0.0
46141;Higueruelas;21;4191.62;3;598.8;0;0.0
3078;HondóndelosFrailes;78;6280.19;5;402.58;0;0.0
3079;Ibi;4543;19279.41;999;4239.52;59;250.38
3080;Jacarilla;247;12362.36;76;3803.8;1;50.05
46142;Jalance;155;18585.13;15;1798.56;14;1678.66
12070;Jana(la);47;6952.66;15;2218.93;0;0.0
46144;Jarafuel;81;10533.16;21;2730.82;5;650.2
3083;Jijona/Xixona;1061;15423.75;207;3009.16;16;232.59
3082;Jávea/Xàbia;3837;13695.75;794;2834.09;14;49.97
